"Date","Price","Open","High","Low","Change %"
"May 09, 2016","1.2962","1.2908","1.3015","1.2904","0.41%"
"May 06, 2016","1.2909","1.2853","1.2953","1.2833","0.43%"
"May 05, 2016","1.2854","1.2869","1.2877","1.2784","-0.12%"
"May 04, 2016","1.2869","1.2721","1.2887","1.2695","1.16%"
"May 03, 2016","1.2721","1.2529","1.2733","1.2460","1.53%"
"May 02, 2016","1.2529","1.2550","1.2564","1.2511","-0.19%"
"Apr 29, 2016","1.2553","1.2555","1.2589","1.2497","0.01%"
"Apr 28, 2016","1.2552","1.2598","1.2608","1.2513","-0.37%"
"Apr 27, 2016","1.2599","1.2604","1.2695","1.2571","-0.04%"
"Apr 26, 2016","1.2604","1.2679","1.2689","1.2594","-0.59%"
"Apr 25, 2016","1.2679","1.2675","1.2719","1.2651","0.07%"
"Apr 22, 2016","1.2670","1.2734","1.2760","1.2620","-0.52%"
"Apr 21, 2016","1.2736","1.2655","1.2751","1.2626","0.64%"
"Apr 20, 2016","1.2655","1.2668","1.2731","1.2592","-0.10%"
"Apr 19, 2016","1.2668","1.2782","1.2800","1.2630","-0.89%"
"Apr 18, 2016","1.2782","1.2940","1.2992","1.2776","-0.31%"
"Apr 15, 2016","1.2822","1.2847","1.2902","1.2797","-0.18%"
"Apr 14, 2016","1.2845","1.2812","1.2898","1.2780","0.23%"
"Apr 13, 2016","1.2816","1.2759","1.2828","1.2746","0.43%"
"Apr 12, 2016","1.2761","1.2896","1.2921","1.2748","-1.06%"
"Apr 11, 2016","1.2898","1.2984","1.3015","1.2883","-0.69%"
"Apr 08, 2016","1.2988","1.3147","1.3158","1.2950","-1.19%"
"Apr 07, 2016","1.3145","1.3089","1.3181","1.3016","0.43%"
"Apr 06, 2016","1.3089","1.3136","1.3188","1.3061","-0.37%"
"Apr 05, 2016","1.3137","1.3085","1.3219","1.3066","0.38%"
"Apr 04, 2016","1.3087","1.3012","1.3089","1.3000","0.58%"
"Apr 01, 2016","1.3011","1.3005","1.3148","1.2967","0.05%"
"Mar 31, 2016","1.3005","1.2965","1.3011","1.2854","0.30%"
"Mar 30, 2016","1.2966","1.3074","1.3082","1.2910","-0.82%"
"Mar 29, 2016","1.3073","1.3183","1.3217","1.3048","-0.84%"
"Mar 28, 2016","1.3184","1.3271","1.3286","1.3166","-0.69%"
"Mar 25, 2016","1.3275","1.3247","1.3286","1.3224","0.21%"
"Mar 24, 2016","1.3247","1.3204","1.3298","1.3199","0.32%"
"Mar 23, 2016","1.3205","1.3049","1.3220","1.3035","1.22%"
"Mar 22, 2016","1.3046","1.3100","1.3139","1.3026","-0.43%"
"Mar 21, 2016","1.3102","1.3003","1.3102","1.2994","0.78%"
"Mar 18, 2016","1.3001","1.2978","1.3045","1.2921","0.21%"
"Mar 17, 2016","1.2974","1.3095","1.3134","1.2943","-0.95%"
"Mar 16, 2016","1.3098","1.3356","1.3407","1.3092","-1.92%"
"Mar 15, 2016","1.3355","1.3260","1.3402","1.3256","0.72%"
"Mar 14, 2016","1.3260","1.3211","1.3309","1.3211","0.39%"
"Mar 11, 2016","1.3209","1.3346","1.3367","1.3165","-1.03%"
"Mar 10, 2016","1.3346","1.3250","1.3399","1.3230","0.72%"
"Mar 09, 2016","1.3251","1.3409","1.3447","1.3226","-1.18%"
"Mar 08, 2016","1.3409","1.3282","1.3427","1.3277","0.98%"
"Mar 07, 2016","1.3279","1.3315","1.3378","1.3261","-0.27%"
"Mar 04, 2016","1.3315","1.3405","1.3472","1.3311","-0.64%"
"Mar 03, 2016","1.3401","1.3417","1.3474","1.3369","-0.12%"
"Mar 02, 2016","1.3417","1.3408","1.3500","1.3404","0.07%"
"Mar 01, 2016","1.3408","1.3542","1.3554","1.3385","-0.97%"
"Feb 29, 2016","1.3540","1.3511","1.3589","1.3481","0.21%"
"Feb 26, 2016","1.3512","1.3531","1.3567","1.3504","-0.14%"
"Feb 25, 2016","1.3531","1.3699","1.3735","1.3514","-1.25%"
"Feb 24, 2016","1.3702","1.3793","1.3861","1.3676","-0.67%"
"Feb 23, 2016","1.3794","1.3702","1.3821","1.3691","0.64%"
"Feb 22, 2016","1.3706","1.3765","1.3794","1.3659","-0.44%"
"Feb 19, 2016","1.3767","1.3727","1.3847","1.3716","0.31%"
"Feb 18, 2016","1.3725","1.3672","1.3754","1.3651","0.41%"
"Feb 17, 2016","1.3669","1.3861","1.3900","1.3665","-1.39%"
"Feb 16, 2016","1.3861","1.3834","1.3912","1.3707","0.19%"
"Feb 15, 2016","1.3835","1.3852","1.3863","1.3797","-0.09%"
"Feb 12, 2016","1.3847","1.3938","1.3967","1.3811","-0.63%"
"Feb 11, 2016","1.3935","1.3925","1.4017","1.3881","0.07%"
"Feb 10, 2016","1.3925","1.3864","1.4000","1.3818","0.43%"
"Feb 09, 2016","1.3865","1.3925","1.3962","1.3785","-0.43%"
"Feb 08, 2016","1.3925","1.3910","1.3979","1.3840","0.07%"
"Feb 05, 2016","1.3915","1.3754","1.3920","1.3707","1.18%"
"Feb 04, 2016","1.3753","1.3778","1.3799","1.3637","-0.20%"
"Feb 03, 2016","1.3781","1.4057","1.4103","1.3756","-1.94%"
"Feb 02, 2016","1.4053","1.3948","1.4082","1.3937","0.76%"
"Feb 01, 2016","1.3947","1.3973","1.4063","1.3906","-0.19%"
"Jan 29, 2016","1.3973","1.4026","1.4111","1.3965","-0.40%"
"Jan 28, 2016","1.4029","1.4096","1.4124","1.3948","-0.45%"
"Jan 27, 2016","1.4093","1.4118","1.4158","1.4026","-0.16%"
"Jan 26, 2016","1.4116","1.4292","1.4327","1.4043","-1.22%"
"Jan 25, 2016","1.4291","1.4118","1.4295","1.4118","1.23%"
"Jan 22, 2016","1.4117","1.4267","1.4302","1.4113","-1.02%"
