,Date,Close
637,2017-06-12,46.0
638,2017-06-13,45.95
639,2017-06-14,44.66
640,2017-06-15,44.25
641,2017-06-16,44.7
642,2017-06-19,44.1
643,2017-06-20,43.23
644,2017-06-21,42.5
645,2017-06-22,42.77
646,2017-06-23,43.12
647,2017-06-26,43.48
648,2017-06-27,43.73
649,2017-06-28,44.87
650,2017-06-29,44.86
651,2017-06-30,46.34
652,2017-07-03,47.05
653,2017-07-04,47.05
654,2017-07-05,45.62
655,2017-07-06,45.33
656,2017-07-07,44.33
657,2017-07-10,44.55
658,2017-07-11,45.76
659,2017-07-12,45.42
660,2017-07-13,46.08
661,2017-07-14,46.64
662,2017-07-17,45.98
663,2017-07-18,46.25
664,2017-07-19,47.16
665,2017-07-20,46.79
666,2017-07-21,45.59
667,2017-07-24,46.45
668,2017-07-25,48.58
669,2017-07-26,48.72
670,2017-07-27,49.14
671,2017-07-28,49.77
672,2017-07-31,50.19
673,2017-08-01,48.78
674,2017-08-02,49.58
675,2017-08-03,48.93
676,2017-08-04,49.52
677,2017-08-07,49.33
678,2017-08-08,48.97
679,2017-08-09,49.69
680,2017-08-10,48.52
681,2017-08-11,48.8
682,2017-08-14,47.52
683,2017-08-15,47.7
684,2017-08-16,46.78
685,2017-08-17,46.95
686,2017-08-18,48.63
687,2017-08-21,47.63
688,2017-08-22,47.64
689,2017-08-23,48.39
690,2017-08-24,47.59
691,2017-08-25,47.83
692,2017-08-28,46.78
693,2017-08-29,46.31
694,2017-08-30,45.94
695,2017-08-31,47.08
696,2017-09-01,47.33
697,2017-09-04,47.32
698,2017-09-05,48.5
699,2017-09-06,49.09
700,2017-09-07,49.04
701,2017-09-08,47.49
702,2017-09-11,48.02
703,2017-09-12,48.25
704,2017-09-13,49.19
705,2017-09-14,49.72
706,2017-09-15,49.8
707,2017-09-18,49.95
708,2017-09-19,49.79
709,2017-09-20,50.3
710,2017-09-21,50.31
711,2017-09-22,50.27
712,2017-09-25,51.73
713,2017-09-26,51.74
714,2017-09-27,51.75
715,2017-09-28,51.28
716,2017-09-29,51.34
717,2017-10-02,50.3
718,2017-10-03,49.83
719,2017-10-04,49.66
720,2017-10-05,50.56
721,2017-10-06,49.03
722,2017-10-09,49.43
723,2017-10-10,50.74
724,2017-10-11,50.97
725,2017-10-12,50.6
726,2017-10-13,51.31
727,2017-10-16,51.79
728,2017-10-17,51.98
729,2017-10-18,52.08
730,2017-10-19,51.39
731,2017-10-20,51.84
732,2017-10-23,51.72
733,2017-10-24,52.27
734,2017-10-25,51.95
735,2017-10-26,52.5
736,2017-10-27,54.0
737,2017-10-30,53.91
738,2017-10-31,54.43
739,2017-11-01,54.11
740,2017-11-02,54.79
741,2017-11-03,55.59
742,2017-11-06,57.12
743,2017-11-07,56.91
744,2017-11-08,56.77
745,2017-11-09,56.96
746,2017-11-10,56.81
747,2017-11-13,56.67
748,2017-11-14,55.02
749,2017-11-15,55.25
750,2017-11-16,55.17
751,2017-11-17,56.61
752,2017-11-20,56.16
753,2017-11-21,56.88
754,2017-11-22,57.79
755,2017-11-23,58.22
756,2017-11-24,58.68
757,2017-11-27,57.71
758,2017-11-28,57.56
759,2017-11-29,57.23
760,2017-11-30,57.24
761,2017-12-01,58.17
762,2017-12-04,57.35
763,2017-12-05,57.34
764,2017-12-06,55.99
765,2017-12-07,56.5
766,2017-12-08,57.25
767,2017-12-11,57.88
768,2017-12-12,57.41
769,2017-12-13,56.74
770,2017-12-14,57.05
771,2017-12-15,57.31
772,2017-12-18,57.28
773,2017-12-19,57.65
774,2017-12-20,58.0
775,2017-12-21,58.14
776,2017-12-22,58.44
777,2017-12-25,58.44
778,2017-12-26,59.78
779,2017-12-27,59.54
780,2017-12-28,59.81
781,2017-12-29,60.23
782,2018-01-01,60.23
783,2018-01-02,60.4
784,2018-01-03,61.81
785,2018-01-04,61.92
786,2018-01-05,61.55
787,2018-01-08,62.23
788,2018-01-09,63.34
789,2018-01-10,63.44
790,2018-01-11,63.51
791,2018-01-12,64.38
792,2018-01-15,64.72
793,2018-01-16,63.87
794,2018-01-17,64.21
795,2018-01-18,63.66
796,2018-01-19,63.56
797,2018-01-22,63.94
798,2018-01-23,64.51
799,2018-01-24,65.85
800,2018-01-25,65.22
801,2018-01-26,66.31
802,2018-01-29,65.56
803,2018-01-30,63.83
804,2018-01-31,64.93
805,2018-02-01,66.11
806,2018-02-02,65.12
807,2018-02-05,63.62
808,2018-02-06,63.91
809,2018-02-07,61.71
810,2018-02-08,60.52
811,2018-02-09,59.09
812,2018-02-12,59.55
813,2018-02-13,58.97
814,2018-02-14,60.83
815,2018-02-15,61.49
816,2018-02-16,61.65
817,2018-02-19,62.47
818,2018-02-20,61.73
819,2018-02-21,61.33
820,2018-02-22,62.73
821,2018-02-23,63.65
822,2018-02-26,64.05
823,2018-02-27,62.89
824,2018-02-28,61.52
825,2018-03-01,61.3
826,2018-03-02,61.52
827,2018-03-05,62.65
828,2018-03-06,62.08
829,2018-03-07,61.34
830,2018-03-08,60.32
831,2018-03-09,62.18
832,2018-03-12,61.31
833,2018-03-13,60.89
834,2018-03-14,60.95
835,2018-03-15,61.26
836,2018-03-16,62.26
837,2018-03-19,62.14
838,2018-03-20,63.66
839,2018-03-21,65.3
840,2018-03-22,64.47
841,2018-03-23,65.75
842,2018-03-26,65.5
843,2018-03-27,64.75
844,2018-03-28,64.61
845,2018-03-29,64.86
846,2018-03-30,64.86
847,2018-04-02,63.02
848,2018-04-03,63.48
849,2018-04-04,63.61
850,2018-04-05,63.12
851,2018-04-06,61.89
852,2018-04-09,63.26
853,2018-04-10,65.62
854,2018-04-11,66.8
855,2018-04-12,66.83
856,2018-04-13,67.31
857,2018-04-16,66.42
858,2018-04-17,66.59
859,2018-04-18,68.75
860,2018-04-19,68.39
861,2018-04-20,68.09
862,2018-04-23,68.98
863,2018-04-24,67.83
864,2018-04-25,68.22
865,2018-04-26,68.11
866,2018-04-27,67.98
867,2018-04-30,68.53
868,2018-05-01,67.45
869,2018-05-02,67.66
870,2018-05-03,68.51
871,2018-05-04,69.78
872,2018-05-07,70.02
873,2018-05-08,70.21
874,2018-05-09,71.42
875,2018-05-10,71.5
876,2018-05-11,70.52
877,2018-05-14,71.06
878,2018-05-15,70.97
879,2018-05-16,71.55
880,2018-05-17,71.58
881,2018-05-18,71.39
882,2018-05-21,72.44
883,2018-05-22,72.08
884,2018-05-23,71.75
885,2018-05-24,70.59
886,2018-05-25,67.42
887,2018-05-28,66.97
888,2018-05-29,66.73
889,2018-05-30,68.04
890,2018-05-31,67.02
891,2018-06-01,65.71
892,2018-06-04,64.92
893,2018-06-05,65.51
894,2018-06-06,65.11
895,2018-06-07,66.09
896,2018-06-08,65.55
897,2018-06-11,66.11
898,2018-06-12,65.83
899,2018-06-13,66.62
900,2018-06-14,66.94
901,2018-06-15,64.35
902,2018-06-18,65.61
903,2018-06-19,65.25
904,2018-06-20,65.67
905,2018-06-21,65.97
906,2018-06-22,69.35
907,2018-06-25,68.16
908,2018-06-26,70.75
909,2018-06-27,72.61
910,2018-06-28,73.45
911,2018-06-29,74.39
912,2018-07-02,74.06
913,2018-07-03,74.72
914,2018-07-04,74.22
915,2018-07-05,73.15
916,2018-07-06,74.0
917,2018-07-09,74.03
918,2018-07-10,74.08
919,2018-07-11,70.64
920,2018-07-12,70.36
921,2018-07-13,70.59
922,2018-07-16,68.08
923,2018-07-17,67.81
924,2018-07-18,68.94
925,2018-07-19,69.52
926,2018-07-20,69.47
927,2018-07-23,69.02
928,2018-07-24,69.91
929,2018-07-25,70.58
930,2018-07-26,70.64
931,2018-07-27,70.07
932,2018-07-30,71.04
933,2018-07-31,69.28
934,2018-08-01,68.64
935,2018-08-02,69.72
936,2018-08-03,69.42
937,2018-08-06,69.5
938,2018-08-07,69.78
939,2018-08-08,67.31
940,2018-08-09,67.25
941,2018-08-10,68.23
942,2018-08-13,67.72
943,2018-08-14,67.02
944,2018-08-15,65.11
945,2018-08-16,65.61
946,2018-08-17,66.08
947,2018-08-20,66.31
948,2018-08-21,66.88
949,2018-08-22,68.81
950,2018-08-23,68.65
951,2018-08-24,69.34
952,2018-08-27,69.67
953,2018-08-28,69.22
954,2018-08-29,70.3
955,2018-08-30,70.64
956,2018-08-31,70.49
957,2018-09-03,70.61
958,2018-09-04,69.86
959,2018-09-05,69.02
960,2018-09-06,68.33
961,2018-09-07,68.17
962,2018-09-10,67.86
963,2018-09-11,70.09
964,2018-09-12,70.39
965,2018-09-13,69.04
966,2018-09-14,69.17
967,2018-09-17,68.61
968,2018-09-18,69.86
969,2018-09-19,71.42
970,2018-09-20,70.55
971,2018-09-21,71.09
972,2018-09-24,72.5
973,2018-09-25,72.23
974,2018-09-26,72.42
975,2018-09-27,72.42
976,2018-09-28,73.78
977,2018-10-01,75.77
978,2018-10-02,75.42
