,Date,Open,High,Low,Close
1163,2019-06-18,1.1217,1.12421,1.11806,1.11933
1164,2019-06-19,1.11915,1.12536,1.11864,1.12252
1165,2019-06-20,1.12247,1.13167,1.12246,1.12908
1166,2019-06-21,1.12904,1.1377,1.12823,1.13692
1167,2019-06-24,1.13688,1.1403,1.13663,1.13962
1168,2019-06-25,1.13964,1.14113,1.13434,1.13647
1169,2019-06-26,1.13642,1.13904,1.13468,1.13668
1170,2019-06-27,1.13659,1.13808,1.1347,1.13679
1171,2019-06-28,1.13677,1.13927,1.13498,1.13688
1172,2019-07-01,1.13583,1.13704,1.12802,1.12838
1173,2019-07-02,1.12843,1.13205,1.12745,1.12835
1174,2019-07-03,1.12835,1.13114,1.12679,1.12756
1175,2019-07-04,1.12762,1.12943,1.12724,1.12835
1176,2019-07-05,1.12826,1.1287,1.12068,1.12245
1177,2019-07-08,1.12229,1.12337,1.12061,1.1213
1178,2019-07-09,1.12132,1.1218,1.11925,1.12071
1179,2019-07-10,1.12069,1.12634,1.12011,1.12494
1180,2019-07-11,1.12496,1.1285,1.12444,1.1252
1181,2019-07-12,1.12526,1.12741,1.12376,1.12692
1182,2019-07-15,1.12682,1.12831,1.12525,1.12568
1183,2019-07-16,1.12566,1.12626,1.12011,1.1208
1184,2019-07-17,1.12092,1.12329,1.1199,1.12229
1185,2019-07-18,1.12226,1.12797,1.12045,1.12743
1186,2019-07-19,1.1275,1.12811,1.12026,1.12183
1187,2019-07-22,1.12131,1.12246,1.12055,1.12073
1188,2019-07-23,1.12073,1.12089,1.11451,1.11504
1189,2019-07-24,1.11506,1.1155,1.11262,1.11387
1190,2019-07-25,1.11392,1.1187,1.11006,1.11456
1191,2019-07-26,1.11452,1.11502,1.11111,1.11273
1192,2019-07-29,1.11238,1.11502,1.11122,1.11443
1193,2019-07-30,1.11438,1.11604,1.11314,1.11532
1194,2019-07-31,1.11528,1.11613,1.10594,1.10746
1195,2019-08-01,1.10746,1.1095,1.10261,1.1083
1196,2019-08-02,1.1084,1.11156,1.10692,1.11043
1197,2019-08-05,1.11017,1.12124,1.11004,1.12018
1198,2019-08-06,1.12019,1.12488,1.11667,1.11982
1199,2019-08-07,1.11955,1.12411,1.11783,1.11972
1200,2019-08-08,1.11964,1.12318,1.11761,1.11786
1201,2019-08-09,1.11784,1.12222,1.11774,1.11996
1202,2019-08-12,1.11969,1.12299,1.11612,1.1212
1203,2019-08-13,1.12121,1.12279,1.11693,1.11697
1204,2019-08-14,1.11696,1.119,1.113,1.11364
1205,2019-08-15,1.11361,1.11577,1.10907,1.11055
1206,2019-08-16,1.11056,1.11114,1.10656,1.10891
1207,2019-08-19,1.10921,1.1113,1.10753,1.10762
1208,2019-08-20,1.1076,1.1106,1.10647,1.10973
1209,2019-08-21,1.1097,1.11063,1.10796,1.10831
1210,2019-08-22,1.10834,1.11123,1.10628,1.10784
1211,2019-08-23,1.10778,1.11526,1.10508,1.1142
1212,2019-08-26,1.11482,1.11632,1.10933,1.10986
1213,2019-08-27,1.10987,1.11152,1.10849,1.10877
1214,2019-08-28,1.10887,1.10972,1.10725,1.1076
1215,2019-08-29,1.10765,1.10927,1.10413,1.10554
1216,2019-08-30,1.10557,1.10595,1.09624,1.09893
1217,2019-09-02,1.09873,1.09958,1.09571,1.09665
1218,2019-09-03,1.09675,1.0978,1.09255,1.09714
1219,2019-09-04,1.09717,1.10376,1.09678,1.10332
1220,2019-09-05,1.10343,1.10839,1.1016,1.10331
1221,2019-09-06,1.10331,1.10565,1.10195,1.10241
1222,2019-09-09,1.10228,1.10673,1.10147,1.10461
1223,2019-09-10,1.10449,1.10586,1.10297,1.10424
1224,2019-09-11,1.10422,1.10548,1.09844,1.10094
1225,2019-09-12,1.10094,1.10863,1.0926,1.1062
1226,2019-09-13,1.1062,1.11087,1.10546,1.10698
1227,2019-09-16,1.10709,1.10856,1.09923,1.10005
1228,2019-09-17,1.09979,1.10738,1.09895,1.10703
1229,2019-09-18,1.107,1.1075,1.10129,1.10286
1230,2019-09-19,1.10285,1.10727,1.1022,1.10394
1231,2019-09-20,1.10396,1.10668,1.09954,1.10179
1232,2019-09-23,1.1013,1.10246,1.09652,1.09916
1233,2019-09-24,1.09922,1.10232,1.0983,1.10177
1234,2019-09-25,1.10186,1.10223,1.09367,1.09404
1235,2019-09-26,1.09404,1.09666,1.0908,1.09184
1236,2019-09-27,1.0919,1.09579,1.0904,1.09404
1237,2019-09-30,1.09393,1.0947,1.0884,1.08972
1238,2019-10-01,1.08971,1.0942,1.08783,1.0931
1239,2019-10-02,1.09305,1.09628,1.09035,1.09583
1240,2019-10-03,1.09581,1.09985,1.09402,1.09624
1241,2019-10-04,1.09623,1.09976,1.09562,1.09763
1242,2019-10-07,1.09792,1.09999,1.09611,1.09682
1243,2019-10-08,1.09682,1.09953,1.09404,1.09549
1244,2019-10-09,1.09531,1.09892,1.09492,1.09688
1245,2019-10-10,1.09686,1.10331,1.09686,1.1004
1246,2019-10-11,1.10044,1.1062,1.1,1.1035
1247,2019-10-14,1.10292,1.1042,1.10126,1.10257
1248,2019-10-15,1.10253,1.10453,1.09905,1.10313
1249,2019-10-16,1.10307,1.10847,1.10217,1.10701
1250,2019-10-17,1.10705,1.11391,1.10643,1.1121
1251,2019-10-18,1.11231,1.11704,1.11139,1.11685
1252,2019-10-21,1.11572,1.11787,1.11378,1.11486
1253,2019-10-22,1.1148,1.11561,1.11169,1.11236
1254,2019-10-23,1.11236,1.11394,1.11054,1.11289
1255,2019-10-24,1.11291,1.11619,1.10923,1.11026
1256,2019-10-25,1.11026,1.11221,1.10722,1.10789
1257,2019-10-28,1.10783,1.11058,1.10753,1.10987
1258,2019-10-29,1.10989,1.11177,1.10728,1.11111
1259,2019-10-30,1.11111,1.11526,1.10793,1.11509
1260,2019-10-31,1.11511,1.11749,1.11306,1.11507
1261,2019-11-01,1.11505,1.11711,1.11275,1.11641
1262,2019-11-04,1.11665,1.11746,1.1124,1.11261
1263,2019-11-05,1.11261,1.11394,1.10627,1.10734
1264,2019-11-06,1.10732,1.1092,1.10642,1.10646
1265,2019-11-07,1.10645,1.10908,1.10352,1.1049
1266,2019-11-08,1.10481,1.10545,1.10158,1.10185
1267,2019-11-11,1.10216,1.10422,1.10157,1.10316
1268,2019-11-12,1.10313,1.10377,1.10016,1.10071
1269,2019-11-13,1.10076,1.10194,1.09945,1.1006
1270,2019-11-14,1.10044,1.10266,1.09882,1.10197
1271,2019-11-15,1.10197,1.10559,1.10137,1.10512
1272,2019-11-18,1.10492,1.10891,1.10474,1.10704
1273,2019-11-19,1.10704,1.1083,1.10616,1.10766
1274,2019-11-20,1.10767,1.10805,1.10521,1.10705
1275,2019-11-21,1.10708,1.10961,1.10513,1.10568
1276,2019-11-22,1.10571,1.10867,1.10133,1.10182
1277,2019-11-25,1.10145,1.10312,1.10027,1.10117
1278,2019-11-26,1.10119,1.10247,1.10063,1.10184
1279,2019-11-27,1.1018,1.10232,1.09915,1.09981
1280,2019-11-28,1.09982,1.1017,1.0997,1.10054
1281,2019-11-29,1.10065,1.10274,1.09802,1.10167
1282,2019-12-02,1.10215,1.109,1.10021,1.10775
1283,2019-12-03,1.10774,1.10926,1.1065,1.1079
1284,2019-12-04,1.10792,1.11153,1.10659,1.10758
1285,2019-12-05,1.10761,1.11071,1.10742,1.11027
1286,2019-12-06,1.1103,1.11089,1.10388,1.10594
1287,2019-12-09,1.10548,1.10771,1.10524,1.10627
1288,2019-12-10,1.10627,1.10968,1.10618,1.10895
1289,2019-12-11,1.109,1.11439,1.10693,1.11284
1290,2019-12-12,1.11283,1.11534,1.11022,1.11269
1291,2019-12-13,1.11272,1.11985,1.11112,1.11158
1292,2019-12-16,1.1126,1.11573,1.11218,1.11417
1293,2019-12-17,1.1142,1.11737,1.11283,1.11474
1294,2019-12-18,1.11465,1.11533,1.11094,1.11118
1295,2019-12-19,1.11113,1.11434,1.11064,1.11193
1296,2019-12-20,1.1119,1.11239,1.10655,1.10747
1297,2019-12-23,1.10795,1.10951,1.10691,1.10876
1298,2019-12-24,1.10873,1.10932,1.10683,1.10864
1299,2019-12-25,1.10873,1.10932,1.10683,1.10864
1300,2019-12-26,1.10866,1.11081,1.10813,1.10957
1301,2019-12-27,1.10954,1.11875,1.1093,1.11749
1302,2019-12-30,1.11762,1.12199,1.11705,1.11966
1303,2019-12-31,1.11967,1.12384,1.11963,1.12282
1304,2020-01-01,1.11967,1.12384,1.11963,1.12282
1305,2020-01-02,1.12079,1.12133,1.11628,1.11701
1306,2020-01-03,1.11705,1.11791,1.1124,1.11556
1307,2020-01-06,1.11655,1.12047,1.11564,1.11955
1308,2020-01-07,1.11927,1.11971,1.11328,1.11509
1309,2020-01-08,1.11505,1.11674,1.11008,1.11042
1310,2020-01-09,1.11043,1.11196,1.10918,1.11037
